ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9722222222222222,0.9990921968977523,0.972370396712502,0.9722222222222222,0.972220642985258,0.9691510982088459
Decision Tree,0.825,0.9028011372490217,0.8240860300577458,0.825,0.8236735352577107,0.805721859161632
kNN,0.9666666666666667,0.9950492112482853,0.9675293571757385,0.9666666666666667,0.9663890808905196,0.9631185975519581
Naive Bayes,0.8888888888888888,0.9910512396641566,0.8908209771635733,0.8888888888888888,0.8880944001760075,0.8769330273301559
Random Forest (Ensemble),0.9694444444444444,0.999246095647569,0.9701173387754269,0.9694444444444444,0.9691636264804803,0.9661881873588722
